pitch,start,end,velocity,instrument
69,44.615339999999996,44.64739125,117,0
72,44.615339999999996,45.22431374999999,121,0
63,44.615339999999996,45.344505937499996,18,0
57,45.38457,46.08969749999999,122,0
57,45.38457,46.17783843749999,98,48
57,45.38457,46.1457871875,113,52
58,46.1538,46.67463281249999,119,0
34,46.1538,49.014374062499996,121,0
46,46.1538,52.03520437499999,123,0
58,46.1538,51.85892249999999,89,48
58,46.1538,51.874948124999996,113,52
53,46.53841499999999,47.81245218749999,115,0
58,46.92303,48.8701434375,117,0
62,47.307644999999994,48.5977078125,115,0
79,47.69226,49.302835312499994,116,0
67,47.69226,50.41661625,116,0
53,48.076874999999994,48.509566875,101,0
65,48.46149,49.158604687499995,117,0
77,48.46149,49.1906559375,118,0
53,48.846104999999994,49.278796875,107,0
62,49.23071999999999,49.67943749999999,123,0
58,49.23071999999999,49.6874503125,118,0
34,49.23071999999999,52.02719156249999,123,0
53,49.615334999999995,50.85732093749999,104,0
58,49.99994999999999,51.90699937499999,113,0
62,50.384564999999995,51.2739871875,116,0
79,50.76917999999999,52.379755312499995,116,0
67,50.76917999999999,52.379755312499995,116,0
53,51.153794999999995,51.63456374999999,108,0
77,51.53840999999999,52.26757593749999,118,0
65,51.53840999999999,52.26757593749999,118,0
53,51.923024999999996,52.331678437499995,115,0
72,52.30763999999999,52.39578093749999,121,60
74,52.30763999999999,54.951868125,119,60
58,52.30763999999999,52.6361653125,122,0
62,52.30763999999999,53.08488281249999,122,0
46,52.30763999999999,55.368534374999996,123,0
34,52.30763999999999,55.39257281249999,123,0
53,52.692254999999996,53.886164062499994,113,0
58,53.07686999999999,55.02398343749999,115,0
62,53.461484999999996,54.647381249999995,115,0
67,53.84609999999999,55.44866249999999,117,0
79,53.84609999999999,55.456675312499996,116,0
53,54.230715,54.831675937499995,115,0
77,54.61532999999999,55.34449593749999,118,0
65,54.61532999999999,55.416611249999995,120,0
70,54.999945,55.38455999999999,121,60
53,54.999945,55.40058562499999,114,0
72,55.38455999999999,55.745136562499994,122,60
58,55.38455999999999,55.825264687499995,120,0
62,55.38455999999999,56.233918124999995,123,0
43,55.38455999999999,58.47750562499999,122,0
74,55.769175,57.908595937499996,117,60
55,55.769175,57.091289062499996,116,0
73,55.961482499999995,56.105713124999994,118,60
58,56.153789999999994,58.16500593749999,117,0
62,56.53840499999999,57.70827562499999,118,0
69,56.923019999999994,57.33968624999999,117,0
81,56.923019999999994,58.53359531249999,116,0
55,57.30763499999999,58.42942874999999,117,0
79,57.692249999999994,58.421415937499994,118,0
67,57.692249999999994,58.541608124999996,121,0
74,58.07686499999999,58.453467187499996,123,60
62,58.07686499999999,58.20506999999999,117,0
75,58.461479999999995,58.84609499999999,123,60
60,58.461479999999995,58.814043749999996,123,0
63,58.461479999999995,59.006351249999994,123,0
48,58.461479999999995,61.314041249999995,123,0
36,58.461479999999995,61.354105312499996,123,0
77,58.84609499999999,59.046415312499995,122,60
60,58.84609499999999,60.11211937499999,119,0
75,59.0384025,59.42301749999999,121,60
63,59.230709999999995,61.01756718749999,117,0
74,59.42301749999999,59.75955562499999,120,60
67,59.61532499999999,60.83327249999999,109,0
72,59.80763249999999,61.049618437499994,120,60
74,59.999939999999995,60.44064468749999,116,0
86,59.999939999999995,61.61051531249999,116,0
60,60.38455499999999,61.586476874999995,119,0
84,60.769169999999995,61.498335937499995,118,0
72,60.769169999999995,63.01275749999999,121,0
72,61.15378499999999,61.410194999999995,120,60
63,61.15378499999999,61.88295093749999,121,0
74,61.34609249999999,61.626540937499996,122,60
75,61.538399999999996,61.906989374999995,121,60
36,61.538399999999996,61.9871175,123,0
67,61.538399999999996,62.267565937499995,123,0
48,61.538399999999996,63.044808749999994,123,0
77,61.92301499999999,62.19545062499999,121,60
60,61.92301499999999,62.668206562499996,114,0
75,62.11532249999999,62.43583499999999,120,60
36,62.11532249999999,62.34769406249999,99,0
63,62.307629999999996,62.69224499999999,118,0
74,62.499937499999994,62.804424374999996,120,60
72,62.69224499999999,64.5271790625,118,60
67,62.69224499999999,63.05282156249999,117,0
69,63.076859999999996,64.182628125,123,0
53,63.076859999999996,64.61532,121,0
41,63.076859999999996,64.64737124999999,113,0
63,63.46147499999999,64.182628125,117,0
65,63.84608999999999,64.2707690625,119,0
72,64.23070499999999,64.342884375,119,0
73,64.61532,64.65538406249999,122,60
74,64.61532,64.91980687499999,123,60
58,64.61532,65.0720503125,119,0
62,64.61532,65.46467812499999,122,0
46,64.61532,67.7002528125,121,0
74,64.999935,65.817241875,122,60
53,64.999935,66.20986968749999,113,0
58,65.38454999999999,67.323650625,118,0
72,65.76916499999999,65.95345968749999,120,60
62,65.76916499999999,66.906984375,120,0
70,65.9614725,66.12974156249999,120,60
72,66.15378,66.41018999999999,118,60
79,66.15378,67.76435531249999,116,0
67,66.15378,67.76435531249999,120,0
74,66.3460875,66.57845906249999,118,60
53,66.538395,66.971086875,116,0
77,66.92300999999999,67.65217593749999,118,0
65,66.92300999999999,67.67621437499999,119,0
77,67.30762499999999,67.612111875,123,60
53,67.30762499999999,67.65217593749999,112,0
80,67.69224,67.74832968749999,122,60
81,67.69224,68.2290984375,122,60
58,67.69224,68.1409575,122,0
62,67.69224,68.5976878125,123,0
43,67.69224,70.785185625,120,0
55,68.076855,69.27076406249999,117,0
79,68.2691625,70.41659625,120,60
58,68.46146999999999,70.3204425,121,0
62,68.84608499999999,70.1361478125,120,0
69,69.2307,69.63935343749999,117,0
81,69.2307,70.84127531249999,116,0
55,69.615315,70.03198124999999,121,0
79,69.99992999999999,70.72909593749999,118,0
67,69.99992999999999,72.37973531249999,120,0
78,70.38454499999999,70.54480124999999,122,60
